place_id,name,address,lat,lng,types,rating,user_ratings_total,phone,website
ChIJB034a6mJzYUReEL3y36VWoo,Super Kompras| Seminario,"C. Laguna del Volcán 702, El Seminario Primera Secc, 50170 Toluca de Lerdo, Méx.",19.2672301,-99.6728467,"supermarket,grocery_store,food_store,store,food,point_of_interest,establishment",4,387,722 280 3288,http://www.superkompras.com.mx/
ChIJU0C0X_KJzYUR_zLe8tcqlqQ,Garis Lerdo,"Av. Independencia 913, Barrio de Sta Clara, 50070 Toluca de Lerdo, Méx.",19.2929019,-99.6436767,"supermarket,liquor_store,grocery_store,food_store,store,food,point_of_interest,establishment",4.2,4212,722 213 6957,http://www.garis.com.mx/
ChIJNTgon6iJzYURIategXXjj4M,Tiendas 3B,"Av. Miguel Hidalgo 412, Barrio de la Merced, 50080 Toluca de Lerdo, Méx.",19.290302,-99.6595156,"supermarket,grocery_store,food_store,store,food,point_of_interest,establishment",4.4,50,,
ChIJi9pVG8CJzYURcl0x75XDvGQ,Plaza Acrópolis ®| Toluca,"C. Mariano Matamoros SUR 104, Centro, 50000 Toluca de Lerdo, Méx.",19.289172399999998,-99.656567,"shopping_mall,gift_shop,supermarket,department_store,clothing_store,furniture_store,home_improvement_store,home_goods_store,grocery_store,food_store,store,food,point_of_interest,establishment",4.1,3432,722 457 3689,https://acropolis.com.mx/
ChIJo1n-S4yJzYURo_-EuBiKeDE,Waldo's,"Blvd. Isidro Fabela No. 600, San Sebastián, 50150 Toluca de Lerdo, Méx.",19.2851399,-99.6420409,"supermarket,grocery_store,food_store,store,food,point_of_interest,establishment",4,653,722 226 1459,http://www.waldos.com/
ChIJG69jbY-JzYURyNaBEJN4AyI,Súper Naturista,"Central Camionera, Blvd. Isidro Fabela 808, Altamirano, 50130 Toluca de Lerdo, Méx.",19.2799846,-99.64181289999999,"supermarket,asian_grocery_store,grocery_store,food_store,health,store,food,point_of_interest,establishment",4.1,44,722 212 2276,http://www.supernaturista.com/
ChIJF7Jg5eqJzYURuCRJ74jEZwM,Farmacias Benavides,"Av. Primero de Mayo 101-B, Barrio de Sta Clara, 50000 Toluca de Lerdo, Méx.",19.2908389,-99.6542611,"pharmacy,supermarket,government_office,grocery_store,food_store,doctor,health,store,consultant,food,point_of_interest,establishment",3.9,30,81 8126 0000,https://www.benavides.com.mx/
ChIJjZIJwY-JzYURH6DdH8dSyXs,Garis Altamirano,"Calle Gral. Venustiano Carranza 20 Pte. 731 Oriente, Altamirano, 50130 Toluca de Lerdo, Méx.",19.27996,-99.6442368,"supermarket,grocery_store,food_store,store,food,point_of_interest,establishment",4.2,1627,722 276 1100,
ChIJg32e43KJzYUR_fCvxvXXHbc,D'LA COLONIA,"Calle Francisco Murguía 16 Ote. 301-A, Cuauhtémoc, 50130 Toluca de Lerdo, Méx.",19.2810921,-99.65171409999999,"supermarket,grocery_store,food_store,store,food,point_of_interest,establishment",5,1,722 705 3087,
ChIJGbexepWJzYURbQiSOWFVP8g,Súper Ofertas,"Ignacio Allende 224-B, Centro, 50000 Toluca de Lerdo, Méx.",19.2865498,-99.65549399999999,"supermarket,grocery_store,food_store,store,food,point_of_interest,establishment",3.3,4,722 505 4008,
