engine,o_lat,o_lon,d_lat,d_lon,dest_name,cat,distance_m,duration_s,static_duration_s,status_code,condition,travelAdvisory_json,localizedValues_json,fallbackInfo_json,brand,operator,opening_hours,addr_street,addr_housenumber,addr_neighbourhood,addr_city,addr_postcode,phone,website,osm_type,osm_id,duration_min,static_duration_min
google,19.287,-99.655,19.2811293,-99.6587252,parking (OSM),parking,1542.0,492.0,492.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""1.5 km""}, ""duration"": {""text"": ""8 mins""}, ""staticDuration"": {""text"": ""8 mins""}}",,,,,,,,,,,,node,5825577158.0,8.2,8.2
google,19.287,-99.655,19.2896969,-99.648898,Karl's Parking,parking,1208.0,287.0,287.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""1.2 km""}, ""duration"": {""text"": ""5 mins""}, ""staticDuration"": {""text"": ""5 mins""}}",,,,,,,,,,,,way,561029186.0,4.783333333333333,4.783333333333333
google,19.287,-99.655,19.2910886,-99.6630722,Estacionamiento Alameda,parking,1466.0,405.0,405.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""1.5 km""}, ""duration"": {""text"": ""7 mins""}, ""staticDuration"": {""text"": ""7 mins""}}",,,,,Andrés Quintana Roo,202,,Toluca de Lerdo,50080,,,node,4724368464.0,6.75,6.75
google,19.287,-99.655,19.290677,-99.6582192,parking (OSM),parking,1140.0,379.0,379.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""1.1 km""}, ""duration"": {""text"": ""6 mins""}, ""staticDuration"": {""text"": ""6 mins""}}",,,,,,,,,,,,node,4632984087.0,6.316666666666666,6.316666666666666
google,19.287,-99.655,19.2876647,-99.6597,parking (OSM),parking,1667.0,428.0,428.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""1.7 km""}, ""duration"": {""text"": ""7 mins""}, ""staticDuration"": {""text"": ""7 mins""}}",,,,,,,,,,,,way,400345543.0,7.133333333333334,7.133333333333334
google,19.287,-99.655,19.2877196,-99.6636932,parking (OSM),parking,1776.0,482.0,482.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""1.8 km""}, ""duration"": {""text"": ""8 mins""}, ""staticDuration"": {""text"": ""8 mins""}}",,,,,,,,,,,,way,481857755.0,8.033333333333333,8.033333333333333
google,19.287,-99.655,19.2862094,-99.6611579,parking (OSM),parking,1390.0,355.0,355.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""1.4 km""}, ""duration"": {""text"": ""6 mins""}, ""staticDuration"": {""text"": ""6 mins""}}",,,,,,,,,,,,way,1311407226.0,5.916666666666667,5.916666666666667
google,19.287,-99.655,19.2900441,-99.660788,Estacionamiento,parking,964.0,294.0,294.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""1.0 km""}, ""duration"": {""text"": ""5 mins""}, ""staticDuration"": {""text"": ""5 mins""}}",,,,,Avenida Miguel Hidalgo y Costilla,,,Toluca de Lerdo,,,,node,4032166050.0,4.9,4.9
google,19.287,-99.655,19.2918772,-99.6599528,Estacionamiento Marchan,parking,1527.0,414.0,414.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""1.5 km""}, ""duration"": {""text"": ""7 mins""}, ""staticDuration"": {""text"": ""7 mins""}}",,,,,Calle Aquiles Serdán,202,,Toluca de Lerdo,50080,01 722 214 5273,,node,4726896122.0,6.9,6.9
google,19.287,-99.655,19.285147,-99.6552471,parking (OSM),parking,644.0,203.0,203.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""0.6 km""}, ""duration"": {""text"": ""3 mins""}, ""staticDuration"": {""text"": ""3 mins""}}",,,,,Calle Valentín Gómez Farías,,,Toluca de Lerdo,,,,way,315360095.0,3.3833333333333333,3.3833333333333333
google,19.287,-99.655,19.2860594,-99.6595444,parking (OSM),parking,1511.0,406.0,406.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""1.5 km""}, ""duration"": {""text"": ""7 mins""}, ""staticDuration"": {""text"": ""7 mins""}}",,,,,,,,,,,,way,403943098.0,6.766666666666667,6.766666666666667
google,19.287,-99.655,19.2906211,-99.6584261,parking (OSM),parking,1105.0,348.0,348.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""1.1 km""}, ""duration"": {""text"": ""6 mins""}, ""staticDuration"": {""text"": ""6 mins""}}",,,,,,,,,,,,way,345742927.0,5.8,5.8
google,19.287,-99.655,19.2949075,-99.6272604,Pemex,fuel,3691.0,656.0,656.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""3.7 km""}, ""duration"": {""text"": ""11 mins""}, ""staticDuration"": {""text"": ""11 mins""}}",,Pemex,,,,,,,,,,way,189479746.0,10.933333333333334,10.933333333333334
google,19.287,-99.655,19.2906953,-99.6588029,Karl´s Parking,parking,1081.0,338.0,338.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""1.1 km""}, ""duration"": {""text"": ""6 mins""}, ""staticDuration"": {""text"": ""6 mins""}}",,,,,,,,,,,,way,345742929.0,5.633333333333334,5.633333333333334
google,19.287,-99.655,19.2867705,-99.6591985,parking (OSM),parking,1634.0,411.0,411.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""1.6 km""}, ""duration"": {""text"": ""7 mins""}, ""staticDuration"": {""text"": ""7 mins""}}",,,,,,,,,,,,way,400345544.0,6.85,6.85
google,19.287,-99.655,19.2828963,-99.660304,parking (OSM),parking,1483.0,457.0,457.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""1.5 km""}, ""duration"": {""text"": ""8 mins""}, ""staticDuration"": {""text"": ""8 mins""}}",,,,,,,,,,,,way,315701343.0,7.616666666666666,7.616666666666666
google,19.287,-99.655,19.2911305,-99.6590623,parking (OSM),parking,1049.0,329.0,329.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""1.0 km""}, ""duration"": {""text"": ""5 mins""}, ""staticDuration"": {""text"": ""5 mins""}}",,,,,,,,,,,,way,345742925.0,5.483333333333333,5.483333333333333
google,19.287,-99.655,19.2910912,-99.6537717,parking (OSM),parking,926.0,319.0,319.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""0.9 km""}, ""duration"": {""text"": ""5 mins""}, ""staticDuration"": {""text"": ""5 mins""}}",,,,,,,,,,,,way,406696048.0,5.316666666666666,5.316666666666666
google,19.287,-99.655,19.2927738,-99.6493077,parking (OSM),parking,1629.0,380.0,380.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""1.6 km""}, ""duration"": {""text"": ""6 mins""}, ""staticDuration"": {""text"": ""6 mins""}}",,,,,,,,,,,,way,495233562.0,6.333333333333333,6.333333333333333
google,19.287,-99.655,19.2871515,-99.6505892,parking (OSM),parking,668.0,135.0,135.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""0.7 km""}, ""duration"": {""text"": ""2 mins""}, ""staticDuration"": {""text"": ""2 mins""}}",,,,,,,,,,,,way,866599659.0,2.25,2.25
google,19.287,-99.655,19.2898013,-99.6574885,Bravo,parking,1407.0,384.0,384.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""1.4 km""}, ""duration"": {""text"": ""6 mins""}, ""staticDuration"": {""text"": ""6 mins""}}",,,,,Calle Nicolás Bravo,103,,Toluca de Lerdo,50000,01 722 215 9502,,node,4740003822.0,6.4,6.4
google,19.287,-99.655,19.2854065,-99.6571938,parking (OSM),parking,819.0,234.0,234.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""0.8 km""}, ""duration"": {""text"": ""4 mins""}, ""staticDuration"": {""text"": ""4 mins""}}",,,,,,,,,,,,way,315358805.0,3.9,3.9
google,19.287,-99.655,19.2916766,-99.6591932,parking (OSM),parking,1100.0,346.0,346.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""1.1 km""}, ""duration"": {""text"": ""6 mins""}, ""staticDuration"": {""text"": ""6 mins""}}",,,,,Calle Aquiles Serdán,115,,Toluca de Lerdo,50080,,,node,4726903156.0,5.766666666666667,5.766666666666667
google,19.287,-99.655,19.2911093,-99.6517901,parking (OSM),parking,1053.0,278.0,278.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""1.1 km""}, ""duration"": {""text"": ""5 mins""}, ""staticDuration"": {""text"": ""5 mins""}}",,,,,,,,,,,,way,345680266.0,4.633333333333334,4.633333333333334
google,19.287,-99.655,19.2843916,-99.6566544,parking (OSM),parking,938.0,280.0,280.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""0.9 km""}, ""duration"": {""text"": ""5 mins""}, ""staticDuration"": {""text"": ""5 mins""}}",,,,,,,,,,,,way,314907949.0,4.666666666666667,4.666666666666667
google,19.287,-99.655,19.2890506,-99.6504351,parking (OSM),parking,746.0,145.0,145.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""0.7 km""}, ""duration"": {""text"": ""2 mins""}, ""staticDuration"": {""text"": ""2 mins""}}",,,,,,,,,,,,way,866599660.0,2.4166666666666665,2.4166666666666665
google,19.287,-99.655,19.2860063,-99.6575611,parking (OSM),parking,969.0,279.0,279.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""1.0 km""}, ""duration"": {""text"": ""5 mins""}, ""staticDuration"": {""text"": ""5 mins""}}",,,,,,,,,,,,way,865617779.0,4.65,4.65
google,19.287,-99.655,19.2860628,-99.6580027,parking (OSM),parking,1226.0,383.0,383.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""1.2 km""}, ""duration"": {""text"": ""6 mins""}, ""staticDuration"": {""text"": ""6 mins""}}",,,,,,,,,,,,way,321451757.0,6.383333333333334,6.383333333333334
google,19.287,-99.655,19.2863129,-99.6551413,parking (OSM),parking,703.0,212.0,212.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""0.7 km""}, ""duration"": {""text"": ""4 mins""}, ""staticDuration"": {""text"": ""4 mins""}}",,,Oxxo,,,,,,,,,way,316981295.0,3.533333333333333,3.533333333333333
google,19.287,-99.655,19.2625099,-99.6622746,Pemex,fuel,3865.0,784.0,784.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""3.9 km""}, ""duration"": {""text"": ""13 mins""}, ""staticDuration"": {""text"": ""13 mins""}}",,Pemex,,,Calle General Juan Andrew Almazán,,,,,,,way,839495257.0,13.066666666666666,13.066666666666666
google,19.287,-99.655,19.2897322,-99.6562009,parking (OSM),parking,521.0,207.0,207.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""0.5 km""}, ""duration"": {""text"": ""3 mins""}, ""staticDuration"": {""text"": ""3 mins""}}",,,,,,,,,,,,way,346042703.0,3.45,3.45
google,19.287,-99.655,19.3412339,-99.5998012,Farmacia Guadalajara,pharma,9817.0,1288.0,1288.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""9.8 km""}, ""duration"": {""text"": ""21 mins""}, ""staticDuration"": {""text"": ""21 mins""}}",,,,,Calle Vialidad López Portillo,,,,,,,node,5633902522.0,21.466666666666665,21.466666666666665
google,19.287,-99.655,19.2885353,-99.6567611,parking (OSM),parking,760.0,267.0,267.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""0.8 km""}, ""duration"": {""text"": ""4 mins""}, ""staticDuration"": {""text"": ""4 mins""}}",,,,,,,,,,,,way,1413543558.0,4.45,4.45
google,19.287,-99.655,19.2849936,-99.655378,parking (OSM),parking,661.0,207.0,207.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""0.7 km""}, ""duration"": {""text"": ""3 mins""}, ""staticDuration"": {""text"": ""3 mins""}}",,,,,Calle Valentín Gómez Farías,,,Toluca de Lerdo,,,,way,315360096.0,3.45,3.45
google,19.287,-99.655,19.29207,-99.661158,Estacionamiento la Pista,parking,1400.0,385.0,385.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""1.4 km""}, ""duration"": {""text"": ""6 mins""}, ""staticDuration"": {""text"": ""6 mins""}}",,,,,Sebastián Lerdo De Tejada,431,,Toluca de Lerdo,50080,01 722 473 8863,,node,4726884131.0,6.416666666666667,6.416666666666667
google,19.287,-99.655,19.2898487,-99.7017356,Pemex,fuel,5503.0,979.0,979.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""5.5 km""}, ""duration"": {""text"": ""16 mins""}, ""staticDuration"": {""text"": ""16 mins""}}",,,,24/7,Boulevard Adolfo López Mateos,,,toluca,,,,way,842781981.0,16.316666666666666,16.316666666666666
google,19.287,-99.655,19.2859472,-99.6568095,parking (OSM),parking,1048.0,354.0,354.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""1.0 km""}, ""duration"": {""text"": ""6 mins""}, ""staticDuration"": {""text"": ""6 mins""}}",,,,,,,,,,,,way,315359113.0,5.9,5.9
google,19.287,-99.655,19.289693,-99.6535489,parking (OSM),parking,637.0,166.0,166.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""0.6 km""}, ""duration"": {""text"": ""3 mins""}, ""staticDuration"": {""text"": ""3 mins""}}",,,,,,,,,,,,way,261936083.0,2.7666666666666666,2.7666666666666666
google,19.287,-99.655,19.2855387,-99.6575462,parking (OSM),parking,932.0,264.0,264.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""0.9 km""}, ""duration"": {""text"": ""4 mins""}, ""staticDuration"": {""text"": ""4 mins""}}",,,,,,,,,,,,way,315358964.0,4.4,4.4
google,19.287,-99.655,19.2887212,-99.6962831,Oxxo Gas,fuel,5355.0,974.0,974.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""5.4 km""}, ""duration"": {""text"": ""16 mins""}, ""staticDuration"": {""text"": ""16 mins""}}",,Oxxo Gas,,24/7,Boulevard Adolfo López Mateos,,,Toluca,,,,way,840315575.0,16.233333333333334,16.233333333333334
google,19.287,-99.655,19.261658,-99.6200823,Pemex,fuel,4984.0,976.0,976.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""5.0 km""}, ""duration"": {""text"": ""16 mins""}, ""staticDuration"": {""text"": ""16 mins""}}",,Pemex,,,Calle Leona Vicario,,,,,,,way,350321148.0,16.266666666666666,16.266666666666666
google,19.287,-99.655,19.2870467,-99.6529188,parking (OSM),parking,660.0,208.0,208.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""0.7 km""}, ""duration"": {""text"": ""3 mins""}, ""staticDuration"": {""text"": ""3 mins""}}",,,,,,,,,,,,way,1291547901.0,3.466666666666667,3.466666666666667
google,19.287,-99.655,19.2831005,-99.7003809,BP,fuel,7326.0,1038.0,1038.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""7.3 km""}, ""duration"": {""text"": ""17 mins""}, ""staticDuration"": {""text"": ""17 mins""}}",,BP,,,Avenida Solidaridad las Torres,,,,,,,way,841971381.0,17.3,17.3
google,19.287,-99.655,19.3126682,-99.634959,Pemex,fuel,6500.0,968.0,968.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""6.5 km""}, ""duration"": {""text"": ""16 mins""}, ""staticDuration"": {""text"": ""16 mins""}}",,Pemex,,,,,,,,,,way,363800317.0,16.133333333333333,16.133333333333333
google,19.287,-99.655,19.28487,-99.6101795,G500,fuel,5135.0,709.0,709.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""5.1 km""}, ""duration"": {""text"": ""12 mins""}, ""staticDuration"": {""text"": ""12 mins""}}",,G500,,,Avenida Ignacio Comonfort,,,,,,,way,840673799.0,11.816666666666666,11.816666666666666
google,19.287,-99.655,19.2741526,-99.6286266,Oxxo Gas,fuel,4558.0,762.0,762.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""4.6 km""}, ""duration"": {""text"": ""13 mins""}, ""staticDuration"": {""text"": ""13 mins""}}",,Oxxo,,,Boulevard Solidaridad las Torres,,,,,,,way,840686765.0,12.7,12.7
google,19.287,-99.655,19.2616601,-99.620119,fuel (OSM),fuel,4981.0,976.0,976.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""5.0 km""}, ""duration"": {""text"": ""16 mins""}, ""staticDuration"": {""text"": ""16 mins""}}",,,PEMEX,,,,,,,,,way,350321146.0,16.266666666666666,16.266666666666666
google,19.287,-99.655,19.3149703,-99.6326821,Pemex 08424,fuel,6363.0,976.0,976.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""6.4 km""}, ""duration"": {""text"": ""16 mins""}, ""staticDuration"": {""text"": ""16 mins""}}",,Pemex,,,Avenida Lopez Portillo,,,,,,,way,839382102.0,16.266666666666666,16.266666666666666
google,19.287,-99.655,19.2893233,-99.6960715,Oxxo Gas,fuel,4908.0,913.0,913.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""4.9 km""}, ""duration"": {""text"": ""15 mins""}, ""staticDuration"": {""text"": ""15 mins""}}",,Oxxo Gas,,,Boulevard Adolfo López Mateos,,,,,,,way,840291029.0,15.216666666666667,15.216666666666667
google,19.287,-99.655,19.3178135,-99.6490967,G500,fuel,6170.0,861.0,861.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""6.2 km""}, ""duration"": {""text"": ""14 mins""}, ""staticDuration"": {""text"": ""14 mins""}}",,G500,,,Avenida Alfredo del Mazo,,,,,,,way,840309627.0,14.35,14.35
google,19.287,-99.655,19.3214439,-99.6255326,Pemex 09872,fuel,6630.0,1001.0,1001.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""6.6 km""}, ""duration"": {""text"": ""17 mins""}, ""staticDuration"": {""text"": ""17 mins""}}",,,,,Avenida López Portillo,,,,,,,node,5633902225.0,16.683333333333334,16.683333333333334
google,19.287,-99.655,19.2892907,-99.6960747,Pemex,fuel,4910.0,914.0,914.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""4.9 km""}, ""duration"": {""text"": ""15 mins""}, ""staticDuration"": {""text"": ""15 mins""}}",,Pemex,,24/7,,,,,,,,node,4029350533.0,15.233333333333333,15.233333333333333
google,19.287,-99.655,19.3206498,-99.6689547,Pemex,fuel,6929.0,1069.0,1069.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""6.9 km""}, ""duration"": {""text"": ""18 mins""}, ""staticDuration"": {""text"": ""18 mins""}}",,,,,,,,,,,,,,17.816666666666666,17.816666666666666
google,19.287,-99.655,19.2830807,-99.700328,fuel (OSM),fuel,7326.0,1038.0,1038.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""7.3 km""}, ""duration"": {""text"": ""17 mins""}, ""staticDuration"": {""text"": ""17 mins""}}",,,,,,,,,,,,way,800040268.0,17.3,17.3
google,19.287,-99.655,19.2885762,-99.6962043,Oxxo Gas,fuel,5580.0,1032.0,1032.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""5.6 km""}, ""duration"": {""text"": ""17 mins""}, ""staticDuration"": {""text"": ""17 mins""}}",,Oxxo Gas,,,Boulevard Adolfo López Mateos,,,,,,,way,840315573.0,17.2,17.2
google,19.287,-99.655,19.3177873,-99.6303321,Pemex,fuel,5626.0,856.0,856.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""5.6 km""}, ""duration"": {""text"": ""14 mins""}, ""staticDuration"": {""text"": ""14 mins""}}",,Oxxo,,,Avenida Lopez Portillo,,,,,,,way,422884372.0,14.266666666666667,14.266666666666667
google,19.287,-99.655,19.284539,-99.6575679,parking (OSM),parking,1385.0,358.0,358.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""1.4 km""}, ""duration"": {""text"": ""6 mins""}, ""staticDuration"": {""text"": ""6 mins""}}",,,,,Calle Nicolás Bravo,,,,,,,way,314910081.0,5.966666666666667,5.966666666666667
google,19.287,-99.655,19.3206507,-99.6687979,Pemex,fuel,6914.0,1066.0,1066.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""6.9 km""}, ""duration"": {""text"": ""18 mins""}, ""staticDuration"": {""text"": ""18 mins""}}",,Pemex,,,,,,,,,,way,342372605.0,17.766666666666666,17.766666666666666
google,19.287,-99.655,19.2510958,-99.634838,Pemex,fuel,5184.0,1004.0,1004.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""5.2 km""}, ""duration"": {""text"": ""17 mins""}, ""staticDuration"": {""text"": ""17 mins""}}",,Pemex,,,Camino a Ocotitlán,,,,,,,way,842860022.0,16.733333333333334,16.733333333333334
google,19.287,-99.655,19.2887464,-99.688025,Hidrosina,fuel,4073.0,772.0,772.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""4.1 km""}, ""duration"": {""text"": ""13 mins""}, ""staticDuration"": {""text"": ""13 mins""}}",,Pemex,,,,,,,,,,way,400477971.0,12.866666666666667,12.866666666666667
google,19.287,-99.655,19.2638606,-99.6337753,Pemex,fuel,4035.0,798.0,798.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""4.0 km""}, ""duration"": {""text"": ""13 mins""}, ""staticDuration"": {""text"": ""13 mins""}}",,Pemex,,,Boulevard Toluca-Metepec,,,,,,,way,365187792.0,13.3,13.3
google,19.287,-99.655,19.2886942,-99.6960609,Oxxo Gas,fuel,5378.0,979.0,979.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""5.4 km""}, ""duration"": {""text"": ""16 mins""}, ""staticDuration"": {""text"": ""16 mins""}}",,Oxxo Gas,,24/7,Boulevard Adolfo López Mateos,,,Toluca,,,,way,840315574.0,16.316666666666666,16.316666666666666
google,19.287,-99.655,19.2727933,-99.6851815,Pemex,fuel,6254.0,936.0,936.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""6.3 km""}, ""duration"": {""text"": ""16 mins""}, ""staticDuration"": {""text"": ""16 mins""}}",,Pemex,,,Avenida Profesora María Del Refugio Alejandro Tarrello,,,,,,,way,841073491.0,15.6,15.6
google,19.287,-99.655,19.3178268,-99.6588328,Pemex,fuel,5816.0,890.0,890.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""5.8 km""}, ""duration"": {""text"": ""15 mins""}, ""staticDuration"": {""text"": ""15 mins""}}",,Pemex,,,,,,,,,,way,841431060.0,14.833333333333334,14.833333333333334
google,19.287,-99.655,19.288944,-99.6985059,Pemex,fuel,7049.0,1148.0,1148.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""7.0 km""}, ""duration"": {""text"": ""19 mins""}, ""staticDuration"": {""text"": ""19 mins""}}",,Pemex,,24/7,Boulevard Adolfo López Mateos,,,,,,,way,840293116.0,19.133333333333333,19.133333333333333
google,19.287,-99.655,19.272781,-99.685355,Servicio Alpes,fuel,6282.0,956.0,956.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""6.3 km""}, ""duration"": {""text"": ""16 mins""}, ""staticDuration"": {""text"": ""16 mins""}}",,,,,,,,,,,,node,4325688791.0,15.933333333333334,15.933333333333334
google,19.287,-99.655,19.2770179,-99.686292,Pemex,fuel,7343.0,1076.0,1076.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""7.3 km""}, ""duration"": {""text"": ""18 mins""}, ""staticDuration"": {""text"": ""18 mins""}}",,Pemex,,,Boulevard Solidaridad Las Torres,,,,,,,way,840334748.0,17.933333333333334,17.933333333333334
google,19.287,-99.655,19.2887851,-99.6881096,Pemex,fuel,4077.0,773.0,773.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""4.1 km""}, ""duration"": {""text"": ""13 mins""}, ""staticDuration"": {""text"": ""13 mins""}}",,Pemex,,,Boulevard Adolfo López Mateos,,,,,,,way,840286669.0,12.883333333333333,12.883333333333333
google,19.287,-99.655,19.3118116,-99.6705987,Pemex,fuel,5111.0,1028.0,1028.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""5.1 km""}, ""duration"": {""text"": ""17 mins""}, ""staticDuration"": {""text"": ""17 mins""}}",,Pemex,,,Avenida Insurgentes,,,,,,,way,841431935.0,17.133333333333333,17.133333333333333
google,19.287,-99.655,19.257071,-99.6848418,Pemex 05447,fuel,6865.0,1003.0,1003.0,0,ROUTE_EXISTS,,"{""distance"": {""text"": ""6.9 km""}, ""duration"": {""text"": ""17 mins""}, ""staticDuration"": {""text"": ""17 mins""}}",,,,,Calzada Pemex Del Pacífico,,,,,,,way,841411459.0,16.716666666666665,16.716666666666665
