tile,osm_type,osm_id,lat,lon,k,v,name,brand,operator,opening_hours,addr_street,addr_housenumber,addr_neighbourhood,addr_city,addr_postcode,phone,website,wheelchair,emergency,beds,brand_wikidata
8,node,9896378942,19.2040108,-99.5689713,amenity,police,Policía Estatal,,,,,,,,,,,,,,
8,node,12512465840,19.2043714,-99.5510885,amenity,school,Escuela Secundaria Tecnica Comercial E Industrial No 14 Licenciado Julian Diaz Areas,,,,Calle De Los Constituyentes,,,,52253,7225418093,,,,,
8,node,12512567188,19.200636,-99.5606941,amenity,clinic,Colsultorio Medico,,,,Calle José María Morelos y Pavón,,,,52240,,,,,,
8,node,12519591460,19.2059746,-99.5512886,amenity,college,Edayo Chapultepec,,,,Avenida Constituyentes,,,,52240,,,,,,
8,node,12519614251,19.2013646,-99.5616446,amenity,post_office,Ingeniero M. Chapultepec,,,,Calle Licenciado Benito Juárez,,,Chapultepec,52240,,,,,,
8,node,12525092996,19.2138817,-99.5521982,amenity,school,Escuela Primaria 20 De Noviembre,,,,Jardines De Santa Teresa,,Jardines De Eucalipto Azul,,52240,,,,,,
8,node,12525405707,19.2031772,-99.5579166,amenity,school,Escuela Primaria Lic Benito Juarez,,,,Libertad,,Niños Heroes,,52240,7222633343,,,,,
8,node,12540831102,19.202124,-99.5605002,amenity,clinic,,,,,Calle Vicente Guerrero,,,,52240,7224633220,,,,,
8,node,12573258070,19.2032945,-99.5586833,amenity,clinic,Centro Especializado En Atención Primaria A La Salud San Miguel Chapultepec Bicentenario,,,,Avenida Libertad,,,,52240,7222633487,,,,,
8,node,12585271926,19.2040293,-99.5696282,amenity,school,Rancho Argos,,,,Avenida Libertad,,,Chapultepec,52180,,www.colegioargos.com.mx,,,,
8,way,412866540,19.2048982,-99.5499402,amenity,school,Secundaria Lic. JulianDíaz Arias,,,,,,,Chapultepec,,,,,,,
8,way,412866543,19.2062027,-99.5498521,amenity,school,CBT Julian Diaz Arias,,,,Avenida Constituyentes,,,,52240,,,,,,
8,way,425026989,19.2073641,-99.550139,amenity,bus_station,Intermetropolitano,,,,,,,,,,,,,,
8,way,494039150,19.2135782,-99.5524969,amenity,school,Jardin de niños Federico F.,,,,,,,,,,,,,,
8,way,494467051,19.2078509,-99.5518647,amenity,pharmacy,,,,,,,,,,,,,,,
8,way,535320034,19.2020866,-99.5587893,amenity,school,Kinder Profesora María Arias Bernal,,,,,,,,,,,,,,
8,way,563965661,19.2035422,-99.5582719,amenity,school,Primaria Benito Juarez,,,,,,,,,,,,,,
8,way,563965673,19.2026661,-99.558753,amenity,school,Primaria Niños Heroes de Chapultepec,,,,,,,,,,,,,,
8,way,738916818,19.2140753,-99.5527462,amenity,school,,,,,,,,,,,,,,,
8,way,841514943,19.2041682,-99.5508994,amenity,parking,,,,,,,,,,,,,,,
8,way,841558969,19.2034215,-99.5512975,amenity,police,,,,,,,,,,,,,,,
8,way,841558997,19.2091912,-99.5639581,amenity,parking,,,,,,,,,,,,,,,
9,node,12508211688,19.2480841,-99.727841,amenity,school,Centro De Atencion A Jovenes Y Adultos Leona Vicario Turno Vespertino,,,,Calle Vialidad Luisa Isabel Campos De Jiménez Cantú Primera Sección,,,,51385,,,,,,
9,node,12512547444,19.2480643,-99.7277922,amenity,school,Centro De Atencion A Jovenes Y Adultos Leona Vicario Turno Matutino Cct 15eba0199u,,,,Calle José María Morelos,,,,51385,,,,,,
9,node,12566085075,19.2492389,-99.7264154,amenity,school,Plaza Comunitaria Bicentenario,,,,Calle Vialidad Luisa Isabel Campos De Jiménez Cantú Primera Sección,,,,51385,,,,,,
9,node,12574970476,19.248581,-99.7435876,amenity,school,Escuela Normal Superior del Valle de Toluca,,,,Avenida Benito Juárez,,,,,+527225446988,,,,,
9,way,802331049,19.2453719,-99.7443479,amenity,school,Primaria Henry Ford #9,,,,,,,,,,,,,,
9,way,1218374055,19.24752,-99.7440504,amenity,school,Escuela Normal Superior del Valle de Toluca,,Secretaría de Educación,,Benito Nuárez,,,San Juan de las Huertas,,,,,,,
9,way,1218374936,19.2502449,-99.7453818,amenity,school,Centro de Integración Social N° 5,,Secretaría de Educación,,Colegio de Bachilleres,10,,San Juan de las Huertas,,,,,,,
10,node,12519714149,19.2489777,-99.7248239,amenity,school,Usaer 07 Turno Matutino,,,,Callejón San Pedro,,,,51385,,,,,,
10,node,12525418643,19.2467243,-99.7143106,amenity,school,Cbt No 6 Gerardo Linares Terron - Cacalomanac Toluca Mexico Cct 15st0151o,,,,Calle Independencia,,,,50265,,,,,,
10,node,12530756217,19.2466116,-99.7144953,amenity,school,Telebachillerato Comunitario No 476 Cacaloman -toluca - Cct 15etk0476c,,,,Calle Independencia,,,,50265,,,,,,
10,node,12548511405,19.2479879,-99.7094719,amenity,clinic,,,,,Calle El Nevado,,,,52265,,,,,,
10,node,12548560771,19.2485678,-99.7248732,amenity,school,Escuela Primaria General Vicente Guerrero,,,,Calle Independencia,,,,51385,,,,,,
10,node,12561336256,19.2491737,-99.7099319,amenity,clinic,Centro De Salud Cacalomacan Oeste Del Instituto De Salud Del Estado De Mexico,,,,Sor Juana Ines De La Cruz,,Calzada De Los Pinos,,50265,,,,,,
10,node,12582250737,19.2492692,-99.7066301,amenity,school,Escuela Secundaria No 194 El Nigromante Turno Matutino Cct 15eeso274g,,,,Calle José María Morelos y Pavón,,,,50265,,,,,,
10,node,12607741848,19.2491854,-99.7064923,amenity,clinic,Fisioterapia-psicologia Y Nutricion Winkil-peek,,,,Calle José María Morelos y Pavón,,,,50250,7226502136,,,,,
10,node,12624513577,19.249132,-99.7091956,amenity,clinic,Consultorio Medico,,,,Calle El Nevado,,,Toluca,50265,,,,,,
11,node,12512583448,19.2468003,-99.6770834,amenity,school,Telesecundaria 499 Jose María Pinosuarez,,,,Insurgentes,,,,50260,,,,,,
11,node,12550412828,19.2468129,-99.6768528,amenity,school,Telebachillerato Comunitario 478 Capultitlan,,,,Insurgentes,,,,50260,,,,,,
11,way,521136364,19.2272253,-99.6938647,amenity,school,,,,,,,,,,,,,,,
11,way,521138791,19.2487624,-99.6749143,amenity,school,Colegio De Bachilleres Plantel 07 Toluca Sur,,,,,,,,,,,,,,
12,node,4000002457,19.2285946,-99.6731747,amenity,clinic,Centro de Salud Santiago Tlacotepec,,Gobierno,,Avenida Cuauhtemoc,,,Toluca de Lerdo,50270,,,,,,
12,node,12528224089,19.2492804,-99.659648,amenity,clinic,Centro De Salud Capultitlan,,,,Raul Hernandez Pagaza,,Benito Juarez,,50260,,,,,,
12,node,12528232538,19.2495239,-99.6692413,amenity,clinic,Unidad Medica Endolap,,,,Calle Benito Juarez,,,,50260,,,,,,
12,node,12528322446,19.2495291,-99.6595166,amenity,school,Primaria Mariano Abasolo,,,,Benito Juarez,,Raul Hernandez Pagaza,,50260,,,,,,
12,node,12532823853,19.2274777,-99.6716072,amenity,school,Escuela Telesecundaria Lic Alvaro Galvez Y Fuentes,,,,Calle Independencia,,,,50270,,,,,,
12,node,12540317751,19.2492041,-99.6637129,amenity,school,Ceaja Emiliano Zapata Unidad De Educacion Para La Atencion De Jóvenes Y Adultos,,,,Avenida Paseo Colón,,,Toluca,50260,,,,,,
12,node,12540861646,19.2317001,-99.6749827,amenity,clinic,Consultorio De Pediatria,,,,Calle Al Refugio,,,,50270,,,,,,
12,node,12544759100,19.2270193,-99.6647836,amenity,clinic,Atencion psicologica,,,,Calle Xinantécatl,,,Toluca de Lerdo,50270,,,,,,
12,node,12741859126,19.2298711,-99.6688893,amenity,clinic,,,,,,,,,,,,,,,
12,node,12749168586,19.2282978,-99.6730516,amenity,school,Centro De Educacion Para Los Adultos Cepla Lic Agustin Gonzalez,,,,,,,,,,,,,,
12,node,12752991223,19.2257212,-99.6715121,healthcare,clinic,,,,,Calle del Correo,,,,50270,7224598288,,,,,
12,way,189790681,19.2466278,-99.6635165,shop,convenience,Oxxo,Oxxo,,,,,,,,,https://www.oxxo.com/tiendas?cr=50CWP,,,,Q1342538
12,way,204980224,19.2476386,-99.6656218,amenity,school,Secundaria Numero 22 Jose Maria Morelos Y Pavon Turno Matutino,,,,Calle Insurgentes,,,Toluca,50260,,,,,,
12,way,204980493,19.249121,-99.6591979,amenity,school,,,,,,,,,,,,,,,
12,way,397179553,19.2307686,-99.6695801,amenity,school,Escuela primaria Josefa Ortiz de Domínguez,,,,Calle Libertad,,,Toluca,50270,,,,,,
12,way,840685131,19.2424435,-99.6648292,amenity,fuel,Pemex,,,,Carretera Toluca Tlacotepec,,,,,,,,,,
12,way,840685135,19.2354498,-99.6680555,amenity,fuel,Pemex,,,,Carretera Toluca Tlacotepec,,,,,,,,,,
13,node,12517388795,19.249241,-99.6341091,amenity,clinic,Medicina Integral Medics,,,,Calle Jazmín,,,,50250,,,,,,
13,node,12517391273,19.2265686,-99.6319397,amenity,school,Escuela Jose Ma Morelos Y Pavon,,,,Calle 16 de Septiembre,,Isabel La Catolica,,50162,7224890156,,,,,
13,node,12523370400,19.2496522,-99.6336739,amenity,school,Centro Para La Atencion De Jovenes Y Adultos Heriberto Enriquez,,,,Camino a Ocotitlán,,,,50250,722112748,,,,,
13,node,12535153922,19.2360681,-99.6474592,amenity,school,Escuela Primaria Niños Héroes De 1847 Turno Matutino 15epr096v,,,,Calle Misión,,,,50180,,,,,,
13,node,12535372416,19.2377834,-99.6425226,amenity,clinic,Consultorio Similar,,,,Miguel Hidalgo,,Independencia,,50180,,,,,,
13,node,12535618008,19.2452615,-99.628505,amenity,university,Instituto superior Concordia,,,,Camino A San Felipe,,,,52166,,https://www.universidadconcordia.com.mx/,,,,
13,node,12543264937,19.2431799,-99.6424048,amenity,school,Escuela Secundaria Lic Jun Fernandez Albarran,,,,Avenida Profesor Heriberto Enríquez,,,,50250,,,,,,
13,node,12544871942,19.2377755,-99.6426909,amenity,clinic,Consultorio Del Simi,,,,Calle Miguel Hidalgo,,,,50180,,,,,,
13,node,12545034471,19.2268347,-99.6319793,amenity,clinic,Centro De Salud San Bartolome Tlaltelulco,,,,Calle 16 de Septiembre,,,,52160,,,,,,
13,node,12547946722,19.237687,-99.6427583,amenity,clinic,Centro De Atencion Psicologica Interdisciplinar Para La Familia,,,,Callejón Mina,,,,50180,,,,,,
13,node,12549438307,19.2495462,-99.6340234,amenity,school,Escuela Primaria Profr Adrian Ortega Monroy,,,,Calle Jazmín,,,,50250,7222703175,,,,,
13,node,12566751704,19.2363147,-99.6473559,amenity,school,Escuela Primaria Niños Héroes De 1847 15epr1446w Vespertino,,,,Calle Misión,,,,50180,,,,,,
13,node,12583259041,19.2277614,-99.6335252,amenity,school,Escuela Primaria Emiliano Zapata,,,,Calle Agustín De Iturbide,,,,50162,,,,,,
13,node,12597553704,19.2271105,-99.6296311,amenity,school,Ceaja Centro De Educacion Para La Atencion De Jovenes Y Adultos,,,,Calle Francisco I. Madero,,,,52160,,,,,,
13,node,12607718222,19.248935,-99.6323504,amenity,school,Escuela Secundaria Oficial Numero 417 Sor Juana Ines De La Cruz Turno Matutino,,,,Calle Geranio,,,Metepec,52165,7222196887,,,,,
13,node,12609781214,19.2489555,-99.6322377,amenity,school,Escuela Secundaria Oficial Numero 0417 Sor Juana Ines De La Cruz Turno Vespertino,,,,Calle Geranio,,,,52165,,,,,,
13,node,12619281195,19.2484528,-99.6314583,amenity,clinic,Consultorio Médico,,,,Calle Orquídeas,,,Metepec,52165,7222191562,,,,,
13,node,12749133906,19.2372811,-99.6436884,amenity,school,Colegio Suizo Edelwelss,,,,,,,,,,,,,,
13,node,12779900935,19.238603,-99.6450281,amenity,college,Centro De Capacitacion Y Calidad Toluca,,,,,,,,,,,,,,
13,way,205404101,19.2496511,-99.6257059,amenity,college,IUVYC,,,,,,,,,,,,,,
13,way,205409263,19.2485146,-99.6323756,amenity,college,"Escuela Secundaria ""Sor Juana Ines de la Cruz""",,,,Camino a Ocotitlán,,,Toluca de Lerdo,,,,,,,
13,way,413044356,19.2321072,-99.6342623,amenity,school,Cbt Numero 2 Metepec,,,,,,,,52160,,,,,,
13,way,413044357,19.2320369,-99.6336868,amenity,parking,,,,,,,,,,,,,,,
13,way,848236047,19.2369367,-99.6310113,amenity,clinic,Centro de Salud La Magdalena Ocotitlán,,ISEM,,Calle Constitución,,,,52161,,,,,,
13,way,848236051,19.2371327,-99.6309955,amenity,parking,,,,,,,,,,,,,,,
13,way,857946194,19.2327374,-99.633757,amenity,parking,,,,,,,,,,,,,,,
14,node,4386456910,19.247349,-99.6165984,amenity,university,,,,,,,,,,,,,,,
14,node,4386456911,19.2476944,-99.6145006,amenity,university,,,,,,,,,,,,,,,
14,node,4862721192,19.2374938,-99.6217623,shop,convenience,Polleria Katy,,,,,,,,,,,,,,
14,node,9896379052,19.2474616,-99.6103632,shop,supermarket,Mini Super Palkaminio,,,,,,,,,,,,,,
14,node,12512567743,19.248571,-99.6163449,amenity,hospital,Central Medico Quirurgica Las Palmas,,,,De las Palmas,,,,52166,,,,,,
14,node,12519904852,19.2441838,-99.6141962,amenity,school,Instituto Baluarte,,,,Metepec-Zacango,,,,52161,,https://www.baluarte.edu.mx/,,,,
14,node,12531954907,19.2390758,-99.6234433,amenity,school,Instituto Nevadi,,,,Camino a Ocotitlán,,,,52161,,,,,,
14,node,12535071716,19.2493528,-99.610654,healthcare,clinic,Medicina Orgánica,,,,Vialidad Toluca-Metepec,,,,52140,,,,,,
14,node,12540100032,19.2425313,-99.6157597,amenity,school,Escuela Centro Acuatico Aqualand,,,,Metepec-Zacango,,,,52161,,,,,,
14,node,12540660239,19.247277,-99.6011844,amenity,clinic,Consultorio Medico,,,,Calle 16 de Septiembre,,Juan Aldama,,52140,7224073475,,,,,
14,node,12542985224,19.2456506,-99.6167868,amenity,school,Escuela Primaria Juan Escutia,,,,Privada Uno,,,,52164,,,,,,
14,node,12545591068,19.2473271,-99.6027189,amenity,school,Escuela Preparatoria Oficial Numero 33,,,,Calle Aquiles Serdán,,,,52140,,,,,,
14,node,12547565234,19.249422,-99.6125315,shop,convenience,Sigma Alimentos centro Toluca,,,,Boulevard Toluca-Metepec,,,,52140,,,,,,
14,node,12550185891,19.2374508,-99.6216325,amenity,school,Escuela Primaria Henrry Ford No25,,,,Calle José María Morelos,,,,52161,,,,,,
14,node,12590185995,19.2361484,-99.621223,amenity,clinic,,,,,Calle Miguel Hidalgo y Costilla,,,,52161,,,,,,
14,node,12599792255,19.2374616,-99.6217132,amenity,school,Primaria Henrry For,,,,Jose Maria Morelos,,Venustiano Carranza,,52161,,,,,,
14,node,12620540075,19.243445,-99.6166742,amenity,school,Quetzalli Centro De Educacion Formacion Y Desarrollo,,,,Calle Benito Juárez,,,Metepec,52161,,,,,,
14,node,12627841584,19.2358118,-99.6215985,amenity,school,Centro De Capacitacion Para El Auto Empleo,,,,Calle Nicolás Bravo,,,Metepec,52161,,,,,,
14,node,12776608339,19.2358032,-99.6216993,amenity,clinic,Centro De Salud Rural Disperso La Magdalena Ocotitlan,,,,,,,,,,,,,,
14,way,400345736,19.2375438,-99.6212919,amenity,school,"Escuela Primaria ""Henry Ford""",,,,Calle José María Morelos,,,,52161,,,,,,
14,way,401125239,19.2471247,-99.6145639,amenity,school,UVM Campus Toluca,,,,,,,,,,,,,,
14,way,440875128,19.2474866,-99.6160656,amenity,school,,,,,,,,,,,,,,,
14,way,440875129,19.2464132,-99.6161184,amenity,school,,,,,,,,,,,,,,,
14,way,456994328,19.2469061,-99.6029515,amenity,school,Preparatoria Numeron 33,,,,Calle Aquiles Serdan,,,Metepec,52140,,,,,,
14,way,562091573,19.2463992,-99.6159909,amenity,parking,,,,,,,,,,,,,,,
14,way,562091584,19.248882,-99.6141906,amenity,parking,,,,,,,,,,,,,,,
14,way,562091593,19.2484211,-99.6149769,amenity,parking,,,,,,,,,,,,,,,
14,way,562091595,19.2466058,-99.6151526,amenity,parking,,,,,,,,,,,,,,,
14,way,562091596,19.247252,-99.6150267,amenity,parking,,,,,,,,,,,,,,,
14,way,562091610,19.2453435,-99.6151522,amenity,parking,,,,,,,,,,,,,,,
14,way,562091611,19.2453062,-99.614659,amenity,parking,,,,,,,,,,,,,,,
14,way,562091632,19.247503,-99.6159525,amenity,parking,,,,,,,,,,,,,,,
14,way,566235360,19.2475727,-99.6128319,shop,mall,Garis El Puente,,,,,,,,,,,,,,
14,way,566235361,19.2476054,-99.6116491,amenity,parking,,,,,,,,,,,,,,,
14,way,566235362,19.2474251,-99.6113492,shop,convenience,Oxxo,Oxxo,,,,,,,,,https://www.oxxo.com/tiendas?cr=50ZZK,,,,Q1342538
14,way,566235370,19.2473479,-99.6111951,amenity,parking,,,,,,,,,,,,,,,
14,way,574627453,19.2429459,-99.6149461,amenity,school,Argos,,,,,,,,,,,,,,
14,way,574627468,19.2430058,-99.6148976,amenity,parking,,,,,,,,,,,,,,,
14,way,614644359,19.2493635,-99.614388,amenity,parking,,,,,,,,,,,,,,,
14,way,614644361,19.2493075,-99.6146174,shop,mall,Plaza de las Palmas,,,Mo-Fr 08:30-20:00,De las Palmas,,,metepec,,,,,,,
14,way,842800043,19.2471889,-99.6105831,amenity,fuel,Mobil,Mobil,,,Metepec-Zacango,,,,,,,,,,Q109676002
14,way,842805765,19.238834,-99.6185539,amenity,fuel,Total,Total,,,Metepec-Zacango,,,,,,,,,,
14,way,1069457632,19.2423603,-99.6191759,amenity,school,Quetzalli,,,,,,,,,,,,,,
15,node,4290377691,19.2351784,-99.5980726,amenity,fuel,BP,BP,,,,,,,,,,,,,Q152057
15,node,5647778422,19.2369605,-99.5855856,amenity,fuel,Pemex ES 13403,,,,Avenida Tecnologico,,,,,,,,,,
15,node,5663903021,19.2356369,-99.5975368,shop,convenience,Goza,,,,Avenida Tecnologico,,,,,,,,,,
15,node,6162123348,19.2400312,-99.5804864,amenity,fuel,,,,,,,,,,,,,,,
15,node,7415604728,19.2498081,-99.5897286,shop,supermarket,Superama,Superama,,,,,,,,,,,,,Q6135762
15,node,7814129620,19.2475931,-99.5859176,amenity,library,Centenario de la Revolución,,,,,,,,,,,,,,
15,node,12528266441,19.2386208,-99.596578,amenity,school,Unidad De Servicios De Apoyo A La Escuela Regular No 129 Usaer,,,,Miguel Hidalgo,,Agustin De Iturbide,,52140,,,,,,
15,node,12530585688,19.2283033,-99.5841601,amenity,school,Cam No99 Turno Vespertino Cct 15eml051sd,,,,Calle Ignacio Zaragoza,,,,52143,,,,,,
15,node,12545013177,19.2283245,-99.5841609,amenity,school,Cam No8 Laura Mendez de Cuenca,,,,Calle Ignacio Zaragoza,,,,52143,,,,,,
15,node,12548001970,19.2286571,-99.5932796,amenity,clinic,Centro De Salud Rural Disperso De San Miguel Totocuitlapilco Isem,,,,Calle Insurgentes,,,,52143,,,,,,
15,node,12548451950,19.2393121,-99.5990561,amenity,school,Academia De Futbol Sports Mexico,,,,Calle Agustín de Iturbide,,,,52140,,,,,,
15,node,12548654747,19.2392805,-99.5969224,amenity,clinic,Consultorio Medico Del Sistema Municipal Dif Metepec,,,,Calle Miguel Hidalgo,,Agustin De Iturbide,,52140,,,,,,
15,node,12563740167,19.2321854,-99.5860533,amenity,school,Balance Cube Desarrollo Integral Temprano,,,,Calle Vicente Guerrero,,,,52143,,,,,,
15,node,12583267551,19.2305371,-99.5938392,amenity,school,Colegio Mexicano De Taekwando Ryuu,,,,Calle Miguel Hidalgo,,,,52143,,,,,,
15,node,12594524269,19.2494249,-99.5987123,amenity,school,Centro De Maestros 1507 Metepec,,,,Calle Hermenegildo Galeana,,,,52140,7222323996,cdmmetepec.mex.tl,,,,
